id,questionid,parsed_path
19269100,6701ca6bb773dec162bde23c,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/19269100.md
MA20190102211802450847,66ff063787bfb80443d02df6,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/MA20190102211802450847.md
72042926,671aa91f6a8e7c23ccbf902b,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/72042926.md
MA20200721082727551672,671cbba2784e3ba406eefb34,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/MA20200721082727551672.md
37253800,67155ca2675b57d8bbc9144d,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/37253800.md
15490743,67372e09a90747ed09962582,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/15490743.md
PMC11070254,671f083dc8da11076ce9960e,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/PMC11070254.md
MA20190102203326807370,67492f85d2aa56dfc01ee6d7,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/MA20190102203326807370.md
22487872,66f9a8a4e613d5c62b6c0d22,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/22487872.md
PMC9122537,670e5c2720bb63b6da63b879,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/PMC9122537.md
34978151,670f511063b765ce8edde772,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/34978151.md
5136708,671f0c2578ab3005e439aeba,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/5136708.md
9844984,6702b8bebb1c7fc12ef340a6,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/9844984.md
9589975,66f9a8a4e613d5c62b6c0d22,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/9589975.md
70606426,671cbba2784e3ba406eefb34,/mnt/seed20_bio/bio/datahub/corpus/HLE/HLE-papers/70606426.md
